date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:28	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:26%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/man.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/man.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:30	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:28%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/home/footer-bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/home/footer-bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:31	153842/153842	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202017%2018:40:54%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/pricing/price-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/pricing/price-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:31	191798/191798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20May%202017%2022:38:20%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/post-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/post-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:31	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:30%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/login/banner_bg.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/login/banner_bg.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:32	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:31%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/about-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/about-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:32	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:31%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/text-sep.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/text-sep.png	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:33	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:32%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/about/banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/about/banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:33	319961/319961	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202017%2001:00:10%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/employer-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/employer-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:34	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:33%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/post-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/post-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:34	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:33%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/listing-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/listing-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:34	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:14:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/pricing/price-banner.jpg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/pricing/price-banner.jpg	(from http://designstream.co.in/templates/html/job-express/assets/css/style.css)
18:14:34	2602/2602	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Aug%202016%2018:13:44%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/wysihtml5/spr_toolbar_icons_r1.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/wysihtml5/spr_toolbar_icons_r1.png	(from http://designstream.co.in/templates/html/job-express/assets/plugins/wysihtml5/wysihtml5.css)
18:14:36	1003/1003	UR-M--	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2018:14:35%20GMT	https://fonts.googleapis.com/css?family=Roboto+Slab:100,300,400,700	/home/najah/websites/fj/fonts.googleapis.com/cssecbd.css	(from http://designstream.co.in/templates/html/job-express/about.html)
